num_qubits,N,target_position,classical_queries_mean,classical_queries_std,grover_queries_mean,grover_queries_std,grover_iterations_first,grover_success_prob_mean,grover_success_prob_std,grover_correct_mean,speedup_mean,speedup_std,sqrt_N_first
4,16,end,16.0,0.0,3.0,0.0,3,0.9608000000000001,0.006196773353931871,1.0,5.333333333333333,0.0,4
4,16,middle,9.0,0.0,3.0,0.0,3,0.9596,0.008604908160140047,1.0,3.0,0.0,4
5,32,end,32.0,0.0,4.0,0.0,4,0.9991,0.0007378647873726334,1.0,8.0,0.0,5
5,32,middle,17.0,0.0,4.0,0.0,4,0.9991,0.0011005049346146055,1.0,4.25,0.0,5
6,64,end,64.0,0.0,6.0,0.0,6,0.9965999999999999,0.0026331223544175317,1.0,10.666666666666666,0.0,8
6,64,middle,33.0,0.0,6.0,0.0,6,0.9970000000000001,0.0013333333333333391,1.0,5.5,0.0,8
7,128,end,128.0,0.0,9.0,0.0,9,0.9874,0.0038355066303047106,1.0,14.222222222222223,0.0,11
7,128,middle,65.0,0.0,9.0,0.0,9,0.9882,0.0029739610697593804,1.0,7.222222222222223,0.0,11
8,256,end,256.0,0.0,13.0,0.0,13,0.9855,0.00476678321535837,1.0,19.692307692307693,0.0,16
8,256,middle,129.0,0.0,13.0,0.0,13,0.9843,0.003093002855909895,1.0,9.923076923076923,0.0,16
9,512,end,512.0,0.0,18.0,0.0,18,0.9948,0.0022509257354845695,1.0,28.444444444444446,0.0,22
9,512,middle,257.0,0.0,18.0,0.0,18,0.9967,0.0017669811040931487,1.0,14.277777777777777,0.0,22
10,1024,end,1024.0,0.0,25.0,0.0,25,0.9992000000000001,0.0010327955589886555,1.0,40.96,0.0,32
10,1024,middle,513.0,0.0,25.0,0.0,25,0.9991,0.0009944289260117773,1.0,20.52,0.0,32
11,2048,end,2048.0,0.0,36.0,0.0,36,0.9983000000000001,0.0009486832980505108,1.0,56.88888888888889,0.0,45
11,2048,middle,1025.0,0.0,36.0,0.0,36,0.9983000000000001,0.0013374935098492587,1.0,28.47222222222222,0.0,45
12,4096,end,4096.0,0.0,50.0,0.0,50,1.0,0.0,1.0,81.92,0.0,64
12,4096,middle,2049.0,0.0,50.0,0.0,50,1.0,0.0,1.0,40.98,0.0,64
13,8192,end,8192.0,0.0,71.0,0.0,71,1.0,0.0,1.0,115.38028169014085,0.0,90
13,8192,middle,4097.0,0.0,71.0,0.0,71,1.0,0.0,1.0,57.70422535211268,0.0,90
14,16384,end,16384.0,0.0,101.0,0.0,101,0.9995,0.0007071067811865486,1.0,162.21782178217822,0.0,128
14,16384,middle,8193.0,0.0,101.0,0.0,101,0.9999,0.0003162277660168341,1.0,81.11881188118812,0.0,128
15,32768,end,32768.0,0.0,142.0,0.0,142,1.0,0.0,1.0,230.7605633802817,0.0,181
15,32768,middle,16385.0,0.0,142.0,0.0,142,1.0,0.0,1.0,115.38732394366198,0.0,181
16,65536,end,65536.0,0.0,201.0,0.0,201,1.0,0.0,1.0,326.0497512437811,0.0,256
16,65536,middle,32769.0,0.0,201.0,0.0,201,1.0,0.0,1.0,163.02985074626866,0.0,256
17,131072,end,131072.0,0.0,284.0,0.0,284,1.0,0.0,1.0,461.5211267605634,0.0,362
17,131072,middle,65537.0,0.0,284.0,0.0,284,1.0,0.0,1.0,230.76408450704224,0.0,362
18,262144,end,262144.0,0.0,402.0,0.0,402,1.0,0.0,1.0,652.0995024875622,0.0,512
18,262144,middle,131073.0,0.0,402.0,0.0,402,1.0,0.0,1.0,326.05223880597015,0.0,512
19,524288,end,524288.0,0.0,569.0,0.0,569,1.0,0.0,1.0,921.4200351493848,0.0,724
19,524288,middle,262145.0,0.0,569.0,0.0,569,1.0,0.0,1.0,460.7117750439367,0.0,724
20,1048576,end,1048576.0,0.0,804.0,0.0,804,1.0,0.0,1.0,1304.1990049751244,0.0,1024
20,1048576,middle,524289.0,0.0,804.0,0.0,804,1.0,0.0,1.0,652.1007462686567,0.0,1024
